Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
OpenAI Cybersecurity Grant Program,OpenAI,https://openai.com/blog/openai-cybersecurity-grant-program,Remote.Global,2024-04-03,1/1/2050,1. AI safety & policy,"""We are launching the Cybersecurity Grant Program—a $1M initiative to boost and quantify AI-powered cybersecurity capabilities and to foster high-level AI and cybersecurity discourse... OpenAI will evaluate and accept applications for funding or other support on a rolling basis. Strong preference will be given to practical applications of AI in defensive cybersecurity (tools, methods, processes). We will grant in increments of $10,000 USD from a fund of $1M USD, in the form of API credits, direct funding and/or equivalents.""",Undergraduate degree or less,Multiple experience levels,Information security,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,Not Found
"Research Engineer, AI Security and Privacy",OpenAI,https://openai.com/careers/research-engineer-ai-security-privacy,San Francisco Bay Area.USA,2024-03-12,1/1/2050,1. AI safety & policy,"""We are seeking strong research engineers for pioneering methodologies and implementing systems to reduce risks of various AI security and privacy research challenges during model deployment. You will have an opportunity to shape the vision of this problem domain, work on the cutting edge of AI research, and collaborate closely with cross-functional teams to improve AI security and privacy protection of our models and systems. In this role, you will: Design, implement, and evaluate novel methods to protect AI models and systems from threats [...]""",Doctoral degree,Junior (1-4 years experience),"Research, Software engineering, Information security",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$295,000 - $440,000"
"Research Engineer, Collective Alignment",OpenAI,https://openai.com/careers/research-engineer-collective-alignment,San Francisco Bay Area.USA,2024-01-15,1/1/2050,1. AI safety & policy,"""We are seeking Research Engineers to help design and implement experiments for collective alignment research. Responsibilities may include: Writing performant and clean code for ML training; Independently running and analyzing ML experiments to diagnose problems and understand which changes are real improvements; Writing clean non-ML code, for example when building interfaces to let workers and participants interact with our models or pipelines for managing human data; Collaborating closely with a small team to balance the need for flexibility [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Research, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$295,000 - $440,000"
"Research Engineer, Human-AI Interaction",OpenAI,https://openai.com/careers/research-engineer-human-ai-interaction,San Francisco Bay Area.USA,2024-01-29,1/1/2050,1. AI safety & policy,"""As one of the founding Research Engineers within the Human-AI Interaction team, you will play a crucial role in pioneering methodologies and implementing systems to integrate human feedback into AI models and systems. You will have an opportunity for shaping the team vision, work on the cutting edge of AI research, and collaborate closely with cross-functional teams to improve the safety, fairness, and transparency of AI systems via leveraging human expertise. In this role, you will: Experiment with novel methods for model-assisted instruction, [...]""",Doctoral degree,Junior (1-4 years experience),"Research, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$245,000 - $440,000"
"Research Engineer, Preparedness",OpenAI,https://openai.com/careers/research-engineer-preparedness,San Francisco Bay Area.USA,2024-02-20,1/1/2050,1. AI safety & policy,"""We are looking to hire exceptional research engineers that can push the boundaries of our frontier models. Specifically, we are looking for those that will help us shape our empirical grasp of the whole spectrum of AI safety concerns and will own individual threads within this endeavor end-to-end. In this role, you will: Work on identifying emerging AI safety risks and new methodologies for exploring the impact of these risks. Build (and then continuously refine) evaluations of frontier AI models that assess the extent of identified risks. [...]""",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Research, Software engineering, Information security",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$200,000 - $370,000"
"Research Engineer, Privacy",OpenAI,https://openai.com/careers/research-engineer-privacy,San Francisco Bay Area.USA,2023-05-31,1/1/2050,1. AI safety & policy,"""As a part of the Privacy Team, you will work on the frontlines of safeguarding user data while ensuring the usability and efficiency of our AI systems. You will help us understand and implement the latest research in privacy-enhancing technologies such as differential privacy, federated learning, and memorization in a large language model. Moreover, you will focus on investigating the interaction between privacy and machine learning, developing innovative techniques to improve data anonymization, and preventing model inversion and membership [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Research, Information security, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$245,000 - $370,000"
"Research Engineer, Safety Reasoning",OpenAI,https://openai.com/careers/research-engineer-safety-reasoning,San Francisco Bay Area.USA,2023-12-04,1/1/2050,1. AI safety & policy,"""To help API users monitor and prevent unwanted use cases, we developed the moderation endpoint, a tool for checking whether content complies with OpenAI's content policy. Developers can thus identify content that our content policy prohibits and take actions (e.g. block it). We seek a Machine Learning Engineer to help design and build a robust pipeline for data management, model training and deployment to enable a consistent improvement on the Moderation model. In this role, you will: Design, develop and maintain a robust and scalable data [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Research, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$200,000 - $370,000"
"Research Engineer, Superalignment",OpenAI,https://openai.com/careers/research-engineer-superalignment,San Francisco Bay Area.USA,2024-02-07,1/1/2050,1. AI safety & policy,"""In this role you would help design and implement experiments for alignment research. Responsibilities may include: Writing performant and clean code for ML training; Independently running and analyzing ML experiments to diagnose problems and understand which changes are real improvements; Writing clean non-ML code, for example when building interfaces to let workers interact with our models or pipelines for managing human data; Collaborating closely with a small team to balance the need for flexibility and iteration speed in research [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$245,000 - $450,000"
"Research Program Manager, Security",OpenAI,https://openai.com/careers/research-program-manager-security,San Francisco Bay Area.USA,2023-12-20,1/1/2050,1. AI safety & policy,"""As a Research Program Manager in Security at OpenAI, you will be instrumental in driving our security research programs forward. You will be responsible for coordinating external and internal security programs, fostering community relations, and ensuring that our security initiatives align with OpenAI's mission to benefit all of humanity. Your role will be pivotal in advancing the forefront of AI security. You’ll make an impact on OpenAI by: Managing and accelerating external security programs, including the Cyber Grant Program and the AI [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Research, Information security",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$240,000 - $270,000"
"Research Scientist, Model Safety",OpenAI,https://openai.com/careers/research-scientist-model-safety,San Francisco Bay Area.USA,2023-12-12,1/1/2050,1. AI safety & policy,"""OpenAI is seeking a senior researcher with passion for AI safety and experience in safety research. Your role will set directions for research to enable and empower safe AGI and work on research projects to make our AI systems safer, more aligned and more robust to adversarial or malicious use cases. You will play a critical role in shaping how a safe AI system should look like in the future at OpenAI, making a significant impact on our mission to build and deploy safe AGI. In this role, you will: Conduct state-of-the-art research on AI safety [...]""",Doctoral degree,Mid (5-9 years experience),Research,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$200,000 - $370,000"
"Research Scientist, Superalignment",OpenAI,https://openai.com/careers/research-scientist-superalignment,San Francisco Bay Area.USA,2024-02-07,1/1/2050,1. AI safety & policy,"""As a Research Scientist here, you will develop innovative machine learning techniques and advance the research agenda of the Superalignment team, while also collaborating with peers across the organization. Responsibilities may include: Designing experiments to measure the effectiveness of scalable oversight techniques such as AI-assisted feedback and Debate; Studying generalization to see when AI systems trained on easy problems can solve hard problems; Managing large datasets from interpretability experiments and creating visualizations [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$245,000 - $450,000"
"Security Engineer, Detection and Response",OpenAI,https://openai.com/careers/security-engineer-detection-response-2,San Francisco Bay Area.USA,2024-01-12,1/1/2050,1. AI safety & policy,"""As a Security Engineer you will join our OpenAI engineers and researchers in building, operating and securing transformational AI technologies. This role will focus on all aspects of Detection & Response, including infrastructure and operations. This role will receive support and mentorship to contribute to the broader Security team as a strong generalist. In this role, you will: Innovate to solve novel security problems; Collaborate on cutting-edge AI research, and use AI to improve OpenAI’s Security posture; You’ll make an impact at OpenAI [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Information security, Software engineering",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$200,000"
"Security Engineer, Detection and Response (London)",OpenAI,https://openai.com/careers/security-engineer-detection-response,London.UK,2023-06-29,1/1/2050,1. AI safety & policy,"""As a Security Engineer, you will join our OpenAI engineers and researchers in building, operating and securing transformational AI technologies. This role will focus on all aspects of Detection & Response, including infrastructure and operations, and will also contribute to the Security team as a strong generalist. In this role, you will: Drive projects in all major security verticals including: AppSec, InfraSec, OffSec and Detection and Response. Innovate to solve novel security problems. Collaborate on cutting-edge AI research, and use [...]""",Undergraduate degree or less,Multiple experience levels,Information security,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,Not Found
"Security Engineer, Threat Intelligence",OpenAI,https://openai.com/careers/security-engineer-threat-intelligence,Remote.USA,2024-02-21,1/1/2050,1. AI safety & policy,"""As a Security Engineer you will join our OpenAI engineers and researchers in building, operating and securing transformational AI technologies. This role will focus on all aspects of Detection & Response, including infrastructure and operations, and will also contribute to the Security team as a strong generalist. In this role, you will: Drive projects in threat intelligence, detection engineering and incident response; Maintain relationships in and outside of OpenAI for information sharing; Collaborate on cutting-edge AI research, and use [...]""",Undergraduate degree or less,Multiple experience levels,Information security,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$310,000 - $385,000"
"Software Engineer, Preparedness",OpenAI,https://openai.com/careers/software-engineer-preparedness,San Francisco Bay Area.USA,2024-03-19,1/1/2050,1. AI safety & policy,"""We are looking to hire exceptional software engineers that can help push the boundaries of our frontier models and build the infrastructure to enable our team. In this role, you will: Help build (and then continuously refine) evaluations of frontier AI models that assess the extent of identified risks, using the latest research on capability elicitation. Design and build infrastructure, systems and processes that can support these kinds of evaluations, and scalably track their results. Work closely with other teams to incorporate monitoring [...]""",Undergraduate degree or less,Multiple experience levels,Software engineering,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$200,000 - $385,000"
"Software Engineer, Privacy",OpenAI,https://openai.com/careers/software-engineer-privacy,San Francisco Bay Area.USA,2024-01-18,1/1/2050,1. AI safety & policy,"""In this role, you will: Design, build, and maintain back-end systems and services that power privacy and data compliance functions within our API products and consumer applications; Work closely with product managers, legal advisors, researchers, and other engineers to develop new products that adhere to emerging research capabilities and meet unaddressed customer needs, all while upholding strict data privacy and legal standards; Continuously iterate to enhance user and developer experiences, focusing on scalability, performance, observability, [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Software engineering, Data",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$245,000 - $310,000"
"Software Engineer, Safety Systems",OpenAI,https://openai.com/careers/software-engineer-safety,San Francisco Bay Area.USA,2023-09-18,1/1/2050,1. AI safety & policy,"""In this role, you'll work with our entire engineering team to design and implement systems that detect and prevent abuse, promote user safety, and reduce risk across our platform. You'll be at the forefront of our efforts to ensure that the immense potential of AI is harnessed in a responsible and sustainable manner. In this role, you will: Architect, build, and maintain anti-abuse and content moderation infrastructure designed to protect us and end users from unwanted behavior. Work closely with our other engineers and researchers to [...]""",Undergraduate degree or less,Junior (1-4 years experience),Software engineering,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$200,000 - $370,000"
"Technical Program Manager, Preparedness",OpenAI,https://openai.com/careers/technical-program-manager-preparedness,San Francisco Bay Area.USA,2024-01-22,1/1/2050,1. AI safety & policy,"""In this role, you will: Work on identifying emerging AI safety risks and new methodologies for exploring the impact of these risks; Design evaluations of frontier AI models that assess the extent of identified risks, using the latest research on capability elicitation; Perform statistical analyses on our frontier evaluations; Collaborate with cross-functional teams within and outside of OpenAI to translate our technical findings into policy recommendations; Contribute to the refinement of risk management and the overall development of [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Operations,https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,"$220,000 - $340,000"
Applied Data Scientist,OpenMined,https://openmined.org/#/careers/data-scientist,Remote.Europe,2024-01-04,1/1/2050,1. AI safety & policy,"""As an Applied Data Science, you will take the lead in building novel applications of remote data science via PySyft, ranging from auditing proprietary AI systems in alignment with most recent regulatory calls for auditing artificial intelligence-powered platforms (1, 2) to conducting research studies on non-public data. Further, you get the chance to pilot your application directly with relevant organizations and educate the stakeholders on your solution. Responsibilities: In this role, you will be responsible for: Design and create data [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Data, Software engineering",https://openmined.org/,https://openmined.org/#/careers,https://80000hours.org/wp-content/uploads/2023/12/openmined_logo.png,Not Found
Expression of Interest,OpenMined,https://openmined.org/#/careers/general-interest,Remote.Global,2024-02-21,1/1/2050,1. AI safety & policy,"""This is a unique opportunity to support the building of infrastructure that has never existed before while spearheading cutting edge R&D projects examining real world use cases. Collaborate with us on global impact projects like the Christchurch Call Initiative on Algorithmic Outcomes, the United Nations PET Lab initiatives with the US Census Bureau, the AI Safety Institute in the United Kingdom, and most recently through NSF’s National AI Research Resource (NAIRR). Responsibilities: Actively contribute to our diverse and inclusive team [...]""",Undergraduate degree or less,Multiple experience levels,"Operations, Research, Software engineering",https://openmined.org/,https://openmined.org/#/careers,https://80000hours.org/wp-content/uploads/2023/12/openmined_logo.png,Not Found
Senior Software Engineer,OpenMined,https://openmined.org/#/careers/software-engineer,Remote.Global,2023-12-22,1/1/2050,1. AI safety & policy,"""You will join a team led by Andrew Trask (author of Grokking Deep Learning), as a seasoned engineer, helping us build libraries, frameworks, and network protocols to facilitate the secure execution of data science and machine learning code in remote infrastructure. Responsibilities: Collaborate with our global teams to design and build innovative features for PySyft. Engage in planning and scoping with Tech Leads and the Product Team. Actively contribute to our diverse and inclusive team culture. Deliver monthly feature sets, balancing [...]""",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)",Software engineering,https://openmined.org/,https://openmined.org/#/careers,https://80000hours.org/wp-content/uploads/2023/12/openmined_logo.png,Not Found
Technical Product Manager,OpenMined,https://openmined.org/#/careers/technical-product-manager,Remote.Global,2024-01-10,1/1/2050,1. AI safety & policy,"""As a Technical Product Manager, you will be responsible for leading the development and execution of our remote data science and networking product, PySyft (9.1K Github stars, currently deployed at Microsoft, United Nations, and more). You will drive the product direction and roadmapping, collaborating with Engineers, UX Designers and UX Researchers to deliver a high-quality product that meets our users' needs. In this role, you will have a front seat in interfacing with OpenMined's strategic partners in government, academia and industry. [...]""",Undergraduate degree or less,Junior (1-4 years experience),Operations,https://openmined.org/,https://openmined.org/#/careers,https://80000hours.org/wp-content/uploads/2023/12/openmined_logo.png,Not Found
Internship Program,Organisation for Economic Co-operation and Development,https://www.oecd.org/careers/internship-programme/,Paris.France,2024-03-29,1/1/2050,6. Early career policy,"""The OECD Internship Programme is designed to bring highly qualified and motivated students with diverse backgrounds into the Organisation to work on projects linked to the Strategic Orientations of the Secretary-General and to support the corporate functions of the Organisation. Its main goal is to give successful candidates the opportunity to improve their analytical and technical skills in an international environment. Examples of work entrusted to interns include: Participating in the preparation of studies and documents; Carrying out [...]"" ",Undergraduate degree or less,Entry-level,"Policy, Research",https://www.oecd.org/,https://oecd.taleo.net/careersection/ext/joblist.ftl,https://80000hours.org/wp-content/uploads/2023/02/OECD.png,Not Found
Project Lead,Oxford Biosecurity Group,https://oxfordbiosecuritygroup.notion.site/About-OBG-3675620263e142aaa5913a489c7efae8,Oxford.UK,2024-01-09,1/1/2050,2. Biosecurity & pandemic preparedness,"""Project leads are ultimately responsible for ensuring the creation and delivery of a project. We are open to recruiting project leads throughout the year on a rolling basis. If you are an experienced researcher, you have a specific biosecurity project you are excited about organising a team around, and would be prepared to spend ~10 hours per week driving your project forward - we’d be interested in hearing from you.""",Undergraduate degree or less,Mid (5-9 years experience),"Research, Operations",https://oxfordbiosecuritygroup.carrd.co/,https://docs.google.com/forms/d/e/1FAIpQLSeHsQ2dtFzLo9W9BsMxcfzk42Le6G6rTQXEnwMG9auzyrfHwg/viewform,https://80000hours.org/wp-content/uploads/2023/09/oxford_biosecurity_group-e1695663361835.png,Not Found
Researcher,Oxford Biosecurity Group,https://oxfordbiosecuritygroup.notion.site/About-OBG-3675620263e142aaa5913a489c7efae8,Oxford.UK,2024-01-09,1/1/2050,2. Biosecurity & pandemic preparedness,"""Researchers will join a small team (typically 2-5 people), led by a project lead, to work on a concrete, scoped, biosecurity project. Your exact responsibilities will depend on the nature of the project and your level of expertise.""",Undergraduate degree or less,Multiple experience levels,Research,https://oxfordbiosecuritygroup.carrd.co/,https://docs.google.com/forms/d/e/1FAIpQLSeHsQ2dtFzLo9W9BsMxcfzk42Le6G6rTQXEnwMG9auzyrfHwg/viewform,https://80000hours.org/wp-content/uploads/2023/09/oxford_biosecurity_group-e1695663361835.png,Not Found
"Policy Engagement and Communications Associate, Government Outcomes and Effectiveness","Oxford University, Blavatnik School of Government",https://www.bsg.ox.ac.uk/job-policy-engagement-and-communications-associate-government-outcomes-and-effectiveness,Oxford.UK,2024-03-28,8/4/2024,6. Early career policy,,Undergraduate degree or less,Junior (1-4 years experience),Policy,https://www.bsg.ox.ac.uk/,https://www.bsg.ox.ac.uk/workforus,https://80000hours.org/wp-content/uploads/2023/09/Blavatnik-School-of-Government.jpeg,"£32,332 - £38,205"
"Research Associate, Cybersecurity Capacity-Building","Oxford University, Department of Computer Science",https://www.cs.ox.ac.uk/news/2305-full.html,Oxford.UK,2024-03-29,17/4/2024,D. Career development: Technical,,Doctoral degree,Junior (1-4 years experience),"Research, Information security",http://www.cs.ox.ac.uk/,https://www.cs.ox.ac.uk/aboutus/vacancies/vacancy-research.html,https://80000hours.org/wp-content/uploads/2015/04/university-of-oxford-logo.png,"£32,332 - £44,263"
"Postdoctoral Researcher, Malaria","Oxford University, Nuffield Department of Population Health",https://my.corehr.com/pls/uoxrecruit/erq_jobspec_version_4.display_form?p_refresh_search=Y&p_recruitment_id=171719&p_form_profile_detail=&p_display_apply_ind=Y&p_process_type=&p_applicant_no=&p_company=10&p_internal_external=E&p_display_in_irish=N,Oxford.UK,2024-03-26,8/4/2024,A. Global health & development,"""You will work in the molecular design of vaccines, such as VLP, subunit, viral-vectored or mRNA platforms, and be involved in the early stages of pre-clinical vaccine development exploring the immunogenicity of such vaccine developments in pre-clinical models. To succeed in this role, you will need to have experience working with animal models. You will develop protocols and perform a range of experimental techniques, such as molecular cloning, cells transfection, microbial and mammalian cell culture, protein expression and chromatography [...]""",Doctoral degree,Junior (1-4 years experience),Research,https://www.ndph.ox.ac.uk/,https://my.corehr.com/pls/uoxrecruit/erq_search_package.search_form?p_company=10&p_internal_external=E#,https://80000hours.org/wp-content/uploads/2015/04/university-of-oxford-logo.png,"£36,024 - £44,263"
Programme Manager and Scientific Coordinator,"Oxford University, Nuffield Department of Population Health",https://my.corehr.com/pls/uoxrecruit/erq_jobspec_version_4.display_form?p_refresh_search=Y&p_recruitment_id=170842&p_form_profile_detail=&p_display_apply_ind=Y&p_process_type=&p_applicant_no=&p_company=10&p_internal_external=E&p_display_in_irish=N,Oxford.UK,2024-03-26,10/4/2024,A. Global health & development,"""This role presents an exciting opportunity to engage with a large number of world-leading academics and clinicians, as well as funders and industry representatives on a diverse portfolio of projects. You will help to establish strategic alliances for the department, help to write funding applications for new projects and contribute to their successful project management. You will be expected to supervise an associated project manager and will have the support of other Senior Programme Managers and Principal Investigators in the department. [...]""",Doctoral degree,Mid (5-9 years experience),"Research, Outreach",https://www.ndph.ox.ac.uk/,https://my.corehr.com/pls/uoxrecruit/erq_search_package.search_form?p_company=10&p_internal_external=E#,https://80000hours.org/wp-content/uploads/2015/04/university-of-oxford-logo.png,"£45,585 - £54,395"
Project Manager,"Oxford University, Nuffield Department of Population Health",https://my.corehr.com/pls/uoxrecruit/erq_jobspec_version_4.display_form?p_refresh_search=Y&p_recruitment_id=171987&p_form_profile_detail=&p_display_apply_ind=Y&p_process_type=&p_applicant_no=&p_company=10&p_internal_external=E&p_display_in_irish=N,Oxford.UK,2024-04-04,25/4/2024,A. Global health & development,,Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Operations,https://www.ndph.ox.ac.uk/,https://my.corehr.com/pls/uoxrecruit/erq_search_package.search_form?p_company=10&p_internal_external=E#,https://80000hours.org/wp-content/uploads/2015/04/university-of-oxford-logo.png,"£36,024 - £44,263"
Research Software Engineer,"Oxford University, Nuffield Department of Population Health",https://my.corehr.com/pls/uoxrecruit/erq_jobspec_version_4.display_form?p_refresh_search=Y&p_recruitment_id=172125&p_form_profile_detail=&p_display_apply_ind=Y&p_process_type=&p_applicant_no=&p_company=10&p_internal_external=E&p_display_in_irish=N,Oxford.UK,2024-04-03,9/4/2024,D. Career development: Technical,,Master's degree,Junior (1-4 years experience),"Research, Software engineering",https://www.ndph.ox.ac.uk/,https://my.corehr.com/pls/uoxrecruit/erq_search_package.search_form?p_company=10&p_internal_external=E#,https://80000hours.org/wp-content/uploads/2015/04/university-of-oxford-logo.png,"£36,024 - £44,263"
"Future Scholarship, Global",Palantir Technologies,https://www.palantir.com/careers/students/scholarship/future-global/,.Global,2024-03-15,13/5/2024,D. Career development: Technical,"""We hope to encourage these students in their computer science, engineering, and technical studies, and celebrate their potential to become leaders in these fields. We especially encourage students from communities that are historically underrepresented in the field of technology to apply. Scholarship recipients will be invited to participate in professional development workshops, designed to prepare them to successfully launch their careers in technology.""",Undergraduate degree or less,Entry-level,Research,https://www.palantir.com/,https://www.palantir.com/careers/,https://80000hours.org/wp-content/uploads/2023/09/Palantir.png,"$7,000 grants"
"Women in Technology Scholarship, Global",Palantir Technologies,https://www.palantir.com/careers/students/scholarship/wit-global/,.Global,2024-03-15,13/5/2024,D. Career development: Technical,"""We hope to encourage women to pursue computer science, engineering, and technical studies, and to become leaders in these fields. Scholarship recipients will be invited to participate in professional development workshops, designed to prepare them to successfully launch their careers in technology. Eligible recipients will also have the opportunity to interview for internship and full-time roles.""",Undergraduate degree or less,Entry-level,Research,https://www.palantir.com/,https://www.palantir.com/careers/,https://80000hours.org/wp-content/uploads/2023/09/Palantir.png,"$7,000 grants"
Research Engineer,Palisade Research,https://palisaderesearch.org/work,San Francisco Bay Area.USA,2023-11-15,1/1/2050,1. AI safety & policy,"""In joining Palisade, you would become a founding member of the team, and would have substantial influence over our strategic direction. we plan to research emerging dangerous capabilities in both open source and API-gated models, in the following areas: Automated hacking; Spear phishing and deception; Scalable disinformation. We are looking for people who excel at: Working with language models; Software engineering; Technical communication.""",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",https://palisaderesearch.org/,https://palisaderesearch.org/work,https://80000hours.org/wp-content/uploads/2023/08/Palisade-Research.png,"$150,000 - $250,000"
Researcher,Panoplia Laboratories,https://docs.google.com/document/d/1n13YWyqxwY4nu09Xrr7Y3gEMPfx_CcH82dFgXwTLtoM/edit,Boston metro area.USA,2024-02-19,1/1/2050,2. Biosecurity & pandemic preparedness,"""We are looking to hire one researcher to be a part of our team. Responsibilities would include: Designing and cloning new antiviral candidates; Designing and executing in vitro assays to characterize antiviral candidates; Assisting with the design and execution of in vivo studies for the characterization of antiviral candidates; Analyzing data from in vitro and in vivo studies; Actively communicating results with the rest of the team.""",Undergraduate degree or less,Junior (1-4 years experience),Research,https://www.panoplialabs.org/,,https://80000hours.org/wp-content/uploads/2024/02/panoplia_laboratories_logo.jpeg,"$75,000"
"Research Associate, Immunoproteomics",Parallel Squared Technology Institute,https://jobs.lever.co/convergentresearch/dd9b2fd2-1bc0-44fd-a898-9855ffb7bcf0,Boston metro area.USA,2024-02-16,1/1/2050,D. Career development: Technical,"""We are looking for a research associate with immunology experience who will be performing immunology-based experiments for downstream mass spectrometry analyses. The successful candidate will work in a team environment and contribute to the Immuno-Proteome Aging project at PTI. Responsibilities: Collaborate across a multi-disciplinary team to design, optimize, and validate immune-cell-based assays; Prepare and analyze human and murine immune cells and responses through co-culture, metabolic assays, and antigen-specific experiments; Prepare [...]""",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)",Research,https://www.parallelsq.org/,https://www.parallelsq.org/careers,https://80000hours.org/wp-content/uploads/2023/09/Parallel-Squared-Technology-Institute.png,Not Found
Federal Internship Finder,Partnership for Public Service,https://gogovernment.org/federal-internship-finder/,"""Washington, DC metro area.USA""",2024-01-08,1/1/2050,6. Early career policy,"""The federal government offers many job opportunities, but they can be difficult to find, track and navigate, complicated by short application windows and information scattered across hundreds of different webpages. The GoGovernment Federal Internship Finder, created by the Partnership for Public Service, will simplify your search for federal opportunities. The tool compiles publicly accessible information about professional and academic opportunities in government for students and recent graduates into one centralized place.""",Undergraduate degree or less,Entry-level,"Policy, Research, Operations",https://ourpublicservice.org/,https://ourpublicservice.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/03/partnership-for-public-service.jpeg,Not Found
"Machine Learning Engineer, AI Evaluation",Patronus AI,https://www.patronus.ai/careers/machine-learning-engineer,"""New York, NY.USA"",Remote.USA",2023-11-30,1/1/2050,1. AI safety & policy,"""Responsibilities: As a Machine Learning Engineer at Patronus AI, you will solve the most important and challenging open research problems facing society’s adoption of AI today. In this role, you will: Develop state-of-the-art systems for AI evaluation; Train language models for novel use cases, such as evaluating whether content is engaging, hallucinatory, age appropriate, or contains PII; Evaluate whether language models are aligned with human preferences; Collect high quality, novel datasets for classification and generative tasks, through [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Software engineering, Research",https://www.patronus.ai/,https://www.patronus.ai/careers,https://80000hours.org/wp-content/uploads/2023/11/PatronusAI.jpeg,Not Found
"Researcher, Chemical and Biological Weapons Control",Peace Research Institute Frankfurt,https://www.prif.org/en/career/vacancies#c6818,Frankfurt.Germany,2024-01-23,1/1/2050,2. Biosecurity & pandemic preparedness,"""Your responsibilities include: Research at the intersection of the natural science and peace and conflict studies; Scientifically-based research on the disarmament and non-proliferation of chemical weapons and chemical security (including work in the lab); Monitoring, tracking and assessing relevant scientific and technological developments in chemistry and/or other relevant scientific disciplines, including through a Technology Monitor; Contributing to the planning and arranging of relevant workshops and conferences; Publication of research [...]""",Doctoral degree,Entry-level,"Research, Policy",https://www.hsfk.de/en/,https://www.hsfk.de/en/career,https://80000hours.org/wp-content/uploads/2023/03/Peace-Research-Institute-Frankfurt.png,Not Found
Accounting Clerk,Ploughshares Fund,https://www.ploughshares.org/about-us/jobs/accounting-clerk,San Francisco Bay Area.USA,2024-03-28,1/1/2050,3. Nuclear security,,Undergraduate degree or less,Junior (1-4 years experience),Finance,https://www.ploughshares.org,http://www.ploughshares.org/about-us/jobs,https://80000hours.org/wp-content/uploads/2018/08/Ploughshares-Fund-1.jpg,$22.12 - $33.17 per hour
General Internship,Policy Exchange,https://policyexchange.org.uk/general-internship/,London.UK,2024-03-27,19/4/2024,6. Early career policy,"""Policy Exchange is one of the UK’s most influential think-tanks which has helped to shape the policy debate with many of our policies being taken up by government and political parties. Our offices are in heart of Westminster Interns are an invaluable part of our organisation and work across all areas, undertaking a variety of tasks and responsibilities. Many of our interns go on to be fully fledged research fellows. While we rely on our interns to provide considerable administration support, they will also gain experience in research, [...]""",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)",Policy,https://policyexchange.org.uk/,https://policyexchange.org.uk/opportunities/,https://80000hours.org/wp-content/uploads/2021/09/Policy-exchange.jpeg,Not Found
